,Unnamed: 0,Tweet,casefold,Tweet_perbaikan,Tweet_filtered,Tweet_stem
228,259,"['happy', 'retirement', 'kak', 'ge', 'terima', 'kasih', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'ganda', 'putri', 'selamat', 'keluarga', 'kak', 'sehat', 'bahagia', 'terimakasihgreysiapolii']",happy retirement kak ge terima kasih dedikasi prestasi bulutangkis indonesia ganda putri selamat keluarga kak sehat bahagia terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'ge', 'terima', 'kasih', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'ganda', 'putri', 'selamat', 'keluarga', 'kak', 'sehat', 'bahagia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terima', 'kasih', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'ganda', 'putri', 'selamat', 'keluarga', 'kak', 'sehat', 'bahagia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terima', 'kasih', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'ganda', 'putri', 'selamat', 'keluarga', 'kak', 'sehat', 'bahagia', 'terimakasihgreysiapolii']"
229,61,"['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasihgreysiapolii']",happy retirement kak ge terimakasih dedikasi bulutangkis indonesia terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasihgreysiapolii']"
230,106,"['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'nya', 'bulutangkis', 'indonesia', 'wish', 'you', 'all', 'the', 'best', 'for', 'your', 'future', 'thankyougreysiapolii']",happy retirement kak ge terimakasih dedikasi nya bulutangkis indonesia wish you all the best for your future thankyougreysiapolii,"['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'nya', 'bulutangkis', 'indonesia', 'wish', 'you', 'all', 'the', 'best', 'for', 'your', 'future', 'thankyougreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'wish', 'you', 'all', 'the', 'best', 'for', 'your', 'future', 'thankyougreysiapolii']","['happy', 'retirement', 'kak', 'ge', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'wish', 'you', 'all', 'the', 'best', 'for', 'your', 'future', 'thankyougreysiapolii']"
231,83,"['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terima']",happy retirement kak gee terimakasih juang dedikasi bulutangkis indonesia terima,"['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terima']","['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terima']","['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terima']"
232,214,"['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasih', 'prestasi', 'yg', 'engkau', 'bangsa', 'indonesia', 'moga', 'sukses', 'bahagia', 'trs', 'kak', 'thankyougreysiapolii', 'terimakasihgreysiapolii']",happy retirement kak gee terimakasih juang dedikasi bulutangkis indonesia terimakasih prestasi yg engkau bangsa indonesia moga sukses bahagia trs kak thankyougreysiapolii terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasih', 'prestasi', 'yang', 'engkau', 'bangsa', 'indonesia', 'semoga', 'sukses', 'bahagia', 'terus', 'kak', 'thankyougreysiapolii', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasih', 'prestasi', 'engkau', 'bangsa', 'indonesia', 'semoga', 'sukses', 'bahagia', 'terus', 'kak', 'thankyougreysiapolii', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'gee', 'terimakasih', 'juang', 'dedikasi', 'bulutangkis', 'indonesia', 'terimakasih', 'prestasi', 'engkau', 'bangsa', 'indonesia', 'moga', 'sukses', 'bahagia', 'terus', 'kak', 'thankyougreysiapolii', 'terimakasihgreysiapolii']"
233,289,"['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'hias', 'helat', 'bulutangkis', 'dunia', 'terima', 'kasih', 'kiprah', 'indonesia', 'terima', 'kasih', 'udah', 'role', 'model', 'once', 'again', 'happy', 'retirement', 'greysia', 'polii', 'thankyougreysiapolii']",happy retirement kak gel terima kasih hias helat bulutangkis dunia terima kasih kiprah indonesia terima kasih udah role model once again happy retirement greysia polii thankyougreysiapolii,"['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'hias', 'helat', 'bulutangkis', 'dunia', 'terima', 'kasih', 'kiprah', 'indonesia', 'terima', 'kasih', 'sudah', 'role', 'model', 'once', 'again', 'happy', 'retirement', 'greysia', 'polii', 'thankyougreysiapolii']","['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'hias', 'helat', 'bulutangkis', 'dunia', 'terima', 'kasih', 'kiprah', 'indonesia', 'terima', 'kasih', 'sudah', 'role', 'model', 'once', 'again', 'happy', 'retirement', 'greysia', 'polii', 'thankyougreysiapolii']","['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'hias', 'helat', 'bulutangkis', 'dunia', 'terima', 'kasih', 'kiprah', 'indonesia', 'terima', 'kasih', 'sudah', 'role', 'model', 'once', 'again', 'happy', 'retirement', 'greysia', 'polii', 'thankyougreysiapolii']"
234,203,"['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'warna', 'dunia', 'bulutangkis', 'indonesia', 'terima', 'kasih', 'indonesia', 'ganda', 'perempuan', 'indonesia', 'terimakasihgreysiapolii']",happy retirement kak gel terima kasih warna dunia bulutangkis indonesia terima kasih indonesia ganda perempuan indonesia terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'warna', 'dunia', 'bulutangkis', 'indonesia', 'terima', 'kasih', 'indonesia', 'ganda', 'perempuan', 'indonesia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'warna', 'dunia', 'bulutangkis', 'indonesia', 'terima', 'kasih', 'indonesia', 'ganda', 'perempuan', 'indonesia', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'gel', 'terima', 'kasih', 'warna', 'dunia', 'bulutangkis', 'indonesia', 'terima', 'kasih', 'indonesia', 'ganda', 'perempuan', 'indonesia', 'terimakasihgreysiapolii']"
235,316,"['happy', 'retirement', 'kak', 'terima', 'kasih', 'kak', 'greysia', 'polii', 'cinta', 'korban', 'juang', 'kontribusi', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'dunia', 'you', 're', 'legend', 'terimakasihgreysiapolii', 'greysiapolii', 'testimonialdaygreysiapolii']",happy retirement kak terima kasih kak greysia polii cinta korban juang kontribusi dedikasi prestasi bulutangkis indonesia dunia you re legend terimakasihgreysiapolii greysiapolii testimonialdaygreysiapolii,"['happy', 'retirement', 'kak', 'terima', 'kasih', 'kak', 'greysia', 'polii', 'cinta', 'korban', 'juang', 'kontribusi', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'dunia', 'you', 're', 'legend', 'terimakasihgreysiapolii', 'greysiapolii', 'testimonialdaygreysiapolii']","['happy', 'retirement', 'kak', 'terima', 'kasih', 'kak', 'greysia', 'polii', 'cinta', 'korban', 'juang', 'kontribusi', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'dunia', 'you', 're', 'legend', 'terimakasihgreysiapolii', 'greysiapolii', 'testimonialdaygreysiapolii']","['happy', 'retirement', 'kak', 'terima', 'kasih', 'kak', 'greysia', 'polii', 'cinta', 'korban', 'juang', 'kontribusi', 'dedikasi', 'prestasi', 'bulutangkis', 'indonesia', 'dunia', 'you', 're', 'legend', 'terimakasihgreysiapolii', 'greysiapolii', 'testimonialdaygreysiapolii']"
236,250,"['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'dunia', 'terimakasih', 'jd', 'role', 'model', 'inspirasi', 'yg', 'sukses', 'ya', 'kak', 'depan', 'terimakasihgreysiapolii']",happy retirement kak terimakasih dedikasi bulutangkis indonesia dunia terimakasih jd role model inspirasi yg sukses ya kak depan terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'dunia', 'terimakasih', 'jadi ', 'role', 'model', 'inspirasi', 'yang', 'sukses', 'ya', 'kak', 'depan', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'dunia', 'terimakasih', 'jadi ', 'role', 'model', 'inspirasi', 'sukses', 'ya', 'kak', 'depan', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'bulutangkis', 'indonesia', 'dunia', 'terimakasih', 'jadi', 'role', 'model', 'inspirasi', 'sukses', 'ya', 'kak', 'depan', 'terimakasihgreysiapolii']"
237,256,"['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'kakak', 'dunia', 'bulutangkis', 'bangsa', 'negara', 'cinta', 'badminton', 'jasa', 'kenang', 'kak', 'moga', 'sukses', 'happy', 'terimakasihgreysiapolii']",happy retirement kak terimakasih dedikasi kakak dunia bulutangkis bangsa negara cinta badminton jasa kenang kak moga sukses happy terimakasihgreysiapolii,"['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'kakak', 'dunia', 'bulutangkis', 'bangsa', 'negara', 'cinta', 'badminton', 'jasa', 'kenang', 'kak', 'semoga', 'sukses', 'happy', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'kakak', 'dunia', 'bulutangkis', 'bangsa', 'negara', 'cinta', 'badminton', 'jasa', 'kenang', 'kak', 'semoga', 'sukses', 'happy', 'terimakasihgreysiapolii']","['happy', 'retirement', 'kak', 'terimakasih', 'dedikasi', 'kakak', 'dunia', 'bulutangkis', 'bangsa', 'negara', 'cinta', 'badminton', 'jasa', 'kenang', 'kak', 'moga', 'sukses', 'happy', 'terimakasihgreysiapolii']"
